SKU,Description,Name,Price,Short Description,Image
OA9143,"Sliding door tracks are great for residential or commercial interiors.
These modern sliding door tracks offer a series of sophisticated design solutions for dividing space–as room dividers, closet doors, sliding doors or pocket doors.
The minimalist top hung design eliminates obtrusive floor tracks and creates a simple, minimalist design that meets the specifications of architects, decorators and engineers around the world.

<li>1-23/59",Closed Track,22.03,"<li>Perfect for Dividers and Partitions!</li>
<li>Punched for Modern Top-Hung Design</li>
<li>1-23/59",/9/1/9143_2.jpg
OA5479-CA,"Clear Anodized Aluminum Pressure Fitting Shelf Cap, For Push Fit on Material with Thickness of 3/4"" & 1"".  Ideal for Correcting and Preventing Sagging Shelves in Garage Cabinets, Pantries, and Closets.  Popularly Used in Combination with OA6920 Pressure Fit Continuous Pull.

</li><li>3/4"" Wide x 3/4"" Deep (.745"" x .750"") - Also Have for 1"" Material
</li><li>8' Cut Length
</li><li>Clear Anodized Finish, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper","Shelf Stiffener - Fits 3/4""",15.53,"Ideal for Shelves in Garage Cabinets, Pantries, and Closets.
</li><li>3/4"" Wide x 3/4"" Deep (.745"" x .750"") - Also Have for 1"" Material
</li><li>8' Cut Length
</li><li>Clear Anodized Finish
</li><li>6063-T5",/5/4/5479_4.jpg
OA5479-BP,"Clear Anodized Aluminum Pressure Fitting Shelf Cap, For Push Fit on Material with Thickness of 3/4"" & 1"".  Ideal for Correcting and Preventing Sagging Shelves in Garage Cabinets, Pantries, and Closets.  Popularly Used in Combination with OA6920 Pressure Fit Continuous Pull.

</li><li>3/4"" Wide x 3/4"" Deep (.745"" x .750"") - Also Have for 1"" Material
</li><li>8 Foot Cut Length
</li><li>Black Powder Coat Finish, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper",Shelf Stiffener - Black,17.53,"Ideal for Shelves in Garage Cabinets, Pantries, and Closets.
</li><li>3/4"" Wide x 3/4"" Deep (.745"" x .750"") - Also Have for 1"" Material
</li><li>8 Foot Cut Length
</li><li>Black Powder Coat Finish, Per MIL-A-8625F
</li><li>6063-T5",/5/4/5479-bp_1.jpg
OA5479-WP,"Clear Anodized Aluminum Pressure Fitting Shelf Cap, For Push Fit on Material with Thickness of 3/4"" & 1"".  Ideal for Correcting and Preventing Sagging Shelves in Garage Cabinets, Pantries, and Closets.  Popularly Used in Combination with OA6920 Pressure Fit Continuous Pull.

</li><li>3/4"" Wide x 3/4"" Deep (.745"" x .750"") - Also Have for 1"" Material
</li><li>8 Foot Cut Length
</li><li>White Powder Coat Finish, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper",Shelf Stiffener - White,17.53,"Ideal for Shelves in Garage Cabinets, Pantries, and Closets.
</li><li>3/4"" Wide x 3/4"" Deep (.745"" x .750"") - Also Have for 1"" Material
</li><li>8 Foot Cut Length
</li><li></li><li>White Powder Coat Finish, Per MIL-A-8625F
</li><li>6063-T5",/5/4/5479_3.jpg
OA7696,"<p>Clear Anodized Aluminum Pressure Fitting Continuous Pull, For Push Fit on Material with Thickness of 3/4"".  Ideal for both Verticle and Horizontal Applications, to Run Entire Length of Door Or Drawer.  Popularly Used in Combination with OA5479 Pressure Fit Shelf Stiffener.</p><ul><li>1"" Wide x 1 27/32"" Tall (1.00"" x 1.837"")</li><li>8 Foot Cut Length</li><li>Clear Anodized Finish, Per MIL-A-8625F</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper</li></ul>","Shelf Stiffener - Fits 1""",19.33,"<ul><li>1"" Wide x 1 27/32"" Tall (1.00"" x 1.837"")</li><li>8 Foot Cut Length</li><li>Clear Anodized Finish</li><li>6063-T5</li></ul>",/7/6/7696_2.jpg
OA6028-3,"Mechanically Polished Aluminum Edge Molding, Smooth Modern Face Asthetic to Cover 3/4"" Area.  Designed to Mount to Material via a 1/10"" Routed Saw Ker

</li><li>3/4"" H x 3/8"" DEEP x 1/10"" Thick (.750"" x .375"" x .100"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish A2, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
</li><li>Pieces are Individually Paper-Sleeved for Added Protection","Smooth Push-In Edge Trim: Covers 3/4""",3.79,"To Cover 3/4"" Area
</li><li>3/4"" H x 3/8"" DEEP x 1/10"" Thick (.750"" x .375"" x .100"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish
</li><li>6063-T5",/6/0/6028_4_2_10.jpg
OA5688-3,"Mechanically Polished Aluminum Edge Molding, Smooth Modern Face Asthetic to Cover 1-1/4"" Area.  Designed to Mount to Material via a 1/10"" Routed Saw Kerf

</li><li>1-1/4"" H x 25/64"" DEEP x 1/10"" Thick (1.250"" x .390"" x .100"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish A2, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
</li><li>Pieces are Individually Paper-Sleeved for Added Protection","Smooth Push-In Edge Trim: Covers 1-1/4""",7,"To Cover 1-1/4"" Area
</li><li>1-1/4"" H x 25/64"" DEEP x 1/10"" Thick (1.250"" x .390"" x .100"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish
</li><li>6063-T5",/5/6/5688_2_8.jpg
OA5688-6,"Mechanically Polished Aluminum Edge Molding, Smooth Modern Face Asthetic to Cover 1-1/4"" Area.  Designed to Mount to Material via a 1/10"" Routed Saw Kerf

</li><li>1-1/4"" H x 25/64"" DEEP x 1/10"" Thick (1.250"" x .390"" x .100"")
</li><li>6 Foot Cut Length
</li><li>Mechanical Polish A2, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
</li><li>Pieces are Individually Paper-Sleeved for Added Protection","Smooth Push-In Edge Trim: Covers 1-1/4""",12.25,"To Cover 1-1/4"" Area
</li><li>1-1/4"" H x 25/64"" DEEP x 1/10"" Thick (1.250"" x .390"" x .100"")
</li><li>6 Foot Cut Length
</li><li>Mechanical Polish
</li><li>6063-T5",/5/6/5688_2_9.jpg
OA5532-3,"Mechanically Polished Aluminum Edge Molding, Face has Fluted 50's Retro Diner Asthetic Detail, to Cover 1-1/4"" Area.  Designed to Mount to Material via a 1/8"" Routed Saw Kerf

</li><li>1-1/4"" H x 7/16"" DEEP x 1/8"" Thick (1.250"" x .437"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish A2, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
</li><li>Pieces are Individually Paper-Sleeved for Added Protection","Fluted Push-In Edge Trim: Covers 1-1/4""",4.87,"To Cover 1-1/4"" Area
</li><li>1-1/4"" H x 7/16"" DEEP x 1/8"" Thick (1.250"" x .437"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish
</li><li>6063-T5",/5/5/5532_2_10.jpg
OA5532-6,"Mechanically Polished Aluminum Edge Molding, Face has Fluted 50's Retro Diner Asthetic Detail, to Cover 1-1/4"" Area.  Designed to Mount to Material via a 1/8"" Routed Saw Kerf

</li><li>1-1/4"" H x 7/16"" DEEP x 1/8"" Thick (1.250"" x .437"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Mechanical Polish A2, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
</li><li>Pieces are Individually Paper-Sleeved for Added Protection","Fluted Push-In Edge Trim: Covers 1-1/4""",8.53,"To Cover 1-1/4"" Area
</li><li>1-1/4"" H x 7/16"" DEEP x 1/8"" Thick (1.250"" x .437"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Mechanical Polish
</li><li>6063-T5",/5/5/5532_2_11.jpg
OA5239-3,"Mechanically Polished Aluminum Edge Molding, Face has Fluted 50's Retro Diner Asthetic Detail,  to Cover 1-1/2"" Area.  Designed to Mount to Material via a 1/8"" Routed Saw Kerf

</li><li>1-1/2"" H x 3/8"" DEEP x 1/8"" Thick (1.500"" x .375"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish A2, Per MIL-A-8625F
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
</li><li>Pieces are Individually Paper-Sleeved for Added Protection","Fluted Push-In Edge Trim: Covers 1-1/2""",7.08,"To Cover 1-1/2"" Area
</li><li>1-1/2"" H x 3/8"" DEEP x 1/8"" Thick (1.500"" x .375"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Mechanical Polish
</li><li>6063-T5",/5/2/5239_2_10.jpg
OA7433-3,"Brite-Dip Anodized Aluminum Edge Molding to Cover 13/16"" Area with Deeper Lip than Traditional Edge Trims, also Known as Overlapping Face Molding 

</li><li>13/16"" H x 33/64"" LIP (.883"" x .479"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 13/16"" (Heavy Lip)",8.22,"</li><li>13/16"" H x 33/64"" LIP (.883"" x .479"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7433_2_10.jpg
OA7433-6,"Brite-Dip Anodized Aluminum Edge Molding to Cover 13/16"" Area with Deeper Lip than Traditional Edge Trims, also Known as Overlapping Face Molding 

</li><li>13/16"" H x 33/64"" LIP (.883"" x .479"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 13/16"" (Heavy Lip)",14.39,"</li><li>13/16"" H x 33/64"" LIP (.883"" x .479"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7433_2_11.jpg
OA7434-3,"Brite-Dip Anodized Aluminum Edge Molding to Cover 1-1/2"" Area with Deeper Lip than Traditional Edge Trims, also Known as Overlapping Face Molding 

</li><li>1-1/2"" H x 33/64"" LIP (1.500"" x .479"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws","Edge Trim - Covers 1-1/2"" (Heavy Lip)",8.99,"</li><li>1-1/2"" H x 33/64"" LIP (1.500"" x .479"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7434_2_8.jpg
OA7434-6,"Brite-Dip Anodized Aluminum Edge Molding to Cover 1-1/2"" Area with Deeper Lip than Traditional Edge Trims, also Known as Overlapping Face Molding 

</li><li>1-1/2"" H x 33/64"" LIP (1.500"" x .479"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws","Edge Trim - Covers 1-1/2"" (Heavy Lip)",15.73,"</li><li>1-1/2"" H x 33/64"" LIP (1.500"" x .479"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7434_2_9.jpg
OA7429-3,"Brite-Dip Anodized Aluminum Edge Molding to Cover 1/2"" Area, also Known as Overlapping Face Molding

</li><li>1/2"" H x 3/16"" LIP (.505"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 1/2""",6.36,"</li><li>1/2"" H x 3/16"" LIP (.505"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7429_2_8.jpg
OA7429-6,"Brite-Dip Anodized Aluminum Edge Molding to Cover 1/2"" Area, also Known as Overlapping Face Molding

</li><li>1/2"" H x 3/16"" LIP (.505"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 1/2""",11.13,"</li><li>1/2"" H x 3/16"" LIP (.505"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7429_2_9.jpg
OA7428-3,"Brite-Dip Anodized Aluminum Edge Molding to Cover 3/4"" Area, also Known as Overlapping Face Molding 

</li><li>3/4"" H x 11/64"" LIP (.755"" x .178"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws","Edge Trim - Covers 3/4""",7.03,"</li><li>3/4"" H x 11/64"" LIP (.755"" x .178"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7428_2_8.jpg
OA7428-6,"Brite-Dip Anodized Aluminum Edge Molding to Cover 3/4"" Area, also Known as Overlapping Face Molding 

</li><li>3/4"" H x 11/64"" LIP (.755"" x .178"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws","Edge Trim - Covers 3/4""",12.31,"</li><li>3/4"" H x 11/64"" LIP (.755"" x .178"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7428_2_9.jpg
OA7432-6,"Brite-Dip Anodized Aluminum Edge Molding to Cover 7/8"" Area, also Known as Overlapping Face Molding 

</li><li>7/8"" H x 3/16"" LIP (.883"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 7/8""",13.19,"</li><li>7/8"" H x 3/16"" LIP (.883"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7432_2_11.jpg
OA7430-3,"Brite-Dip Anodized Aluminum Edge Molding to Cover 1-1/6"" Area, also Known as Overlapping Face Molding 

</li><li>1-1/16"" H x 3/16"" LIP (1.068"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 1-1/16""",8.36,"</li><li>1-1/16"" H x 3/16"" LIP (1.068"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7430_2_10.jpg
OA7430-6',"Brite-Dip Anodized Aluminum Edge Molding to Cover 1-1/6"" Area, also Known as Overlapping Face Molding 

</li><li>1-1/16"" H x 3/16"" LIP (1.068"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 1-1/16""",14.63,"</li><li>1-1/16"" H x 3/16"" LIP (1.068"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7430_2_11.jpg
OA7431-3,"Brite-Dip Anodized Aluminum Edge Molding to Cover 1-1/4"" Area, also Known as Overlapping Face Molding 

</li><li>1-1/4"" H x 3/16"" LIP (1.255"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 1-1/4""",8.93,"</li><li>1-1/4"" H x 3/16"" LIP (1.255"" x .188"")
</li><li>3 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7431_2_10.jpg
OA7431-6,"Brite-Dip Anodized Aluminum Edge Molding to Cover 1-1/4"" Area, also Known as Overlapping Face Molding 

</li><li>1-1/4"" H x 3/16"" LIP (1.255"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws
","Edge Trim - Covers 1-1/4""",15.63,"</li><li>1-1/4"" H x 3/16"" LIP (1.255"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7431_2_11.jpg
OA7435-6,"Brite-Dip Anodized Aluminum Edge Molding to Cover 2"" Area with Grooved Asthetic Detail, also Known as Overlapping Face Molding 

</li><li>2"" H x 3/16"" LIP (2.012"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish, Per MIL-A-8625F
</li><li>6463 Chemically Enhanced Architectural Grade Alloy, T5 Temper
</li><li>Punched and Countersunk Holes 6"" on Center to Accommodate #5 Oval Head Screws","Grooved Edge Trim - Covers 2""",17.74,"</li><li>2"" H x 3/16"" LIP (2.012"" x .188"")
</li><li>6 Foot Cut Length
</li><li>Brite-Dip Anodized Finish
</li><li>6463-T5
</li><li>Punched and Countersunk",/7/4/7435_2_11.jpg
